Jedinjenje,HeLa,K562,smi
9a,9.2,8.5,C[C@]12CC[C@H]3[C@@H](CCC4=C/C(=N/N=C5/NC(=O)CS5)CC[C@@H]43)[C@@H]1CCC2=O
9b,10.7,8.7,C[C@]12CC/C(=N\N=C3\NC(=O)CS3)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
9c,9.8,9.4,C[C@]12CC/C(=N\N=C3\NC(=O)CS3)C=C1CC[C@@H]1C2=CC[C@]2(C)C(=O)CC[C@@H]12
9d,51.4,11.3,C[C@]12CC/C(=N\N=C3\NC(=O)CS3)C=C1CC[C@@H]1[C@@H]2[C@H](O)C[C@]2(C)C(=O)CC[C@@H]12
9e,28.0,19.2,CC(=O)O[C@@H]1C[C@]2(C)C(=O)CC[C@H]2[C@@H]2CCC3=C/C(=N/N=C4/NC(=O)CS4)CC[C@]3(C)[C@H]21
9f,8.9,8.7,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=C/C(=N/N=C5/NC(=O)CS5)CC[C@]4(C)[C@H]3CC[C@]12C
10a,13.5,8.9,C[C@]12CC[C@H]3[C@@H](CCC4=C/C(=N/N=C5/NC(=O)CS5)CC[C@@H]43)[C@@H]1CC/C2=N\N=C1\NC(=O)CS1
10b,12.9,10.5,C[C@]12CC/C(=N\N=C3\NC(=O)CS3)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)/C(=N/N=C3/NC(=O)CS3)CC[C@@H]12
10c,11.2,9.6,C[C@]12CC/C(=N\N=C3\NC(=O)CS3)C=C1CC[C@@H]1C2=CC[C@]2(C)/C(=N/N=C3/NC(=O)CS3)CC[C@@H]12
10d,41.2,11.6,C[C@]12CC/C(=N\N=C3\NC(=O)CS3)C=C1CC[C@@H]1[C@@H]2[C@H](O)C[C@]2(C)/C(=N/N=C3/NC(=O)CS3)CC[C@@H]12
10e,31.3,21.9,CC(=O)O[C@@H]1C[C@]2(C)/C(=N/N=C3/NC(=O)CS3)CC[C@H]2[C@@H]2CCC3=C/C(=N/N=C4/NC(=O)CS4)CC[C@]3(C)[C@H]21
10f,15.1,14.9,C/C(=N\N=C1\NC(=O)CS1)[C@H]1CC[C@H]2[C@@H]3CCC4=C/C(=N/N=C5/NC(=O)CS5)CC[C@]4(C)[C@H]3CC[C@]12C
